HHKEY,ZIP_CODE,Num_Purchases,TotalSpend,Credit Card User,Average_Spend,PC_CALC20,PSWEATERS,PKNIT_TOPS,PKNIT_DRES,PBLOUSES,PJACKETS,PCAR_PNTS,PCAS_PNTS,PSHIRTS,PDRESSES,PSUITS,POUTERWEAR,PJEWELRY,PFASHION,PLEGWEAR,Pother,PROMOS,DaysonFile,BeteenPurchases,MARKDOWN,COUPONS,STORES,WEB,MAILED,RESPONDED,RESPONSERATE,DiversitySpend,Perc_Returns,RESP
9960000000001,1001,2,368.46,No,184.23,11,0.18,0,0,0.3,0,0.25,0,0.19,0,0,0,0,0.02,0.03,0.03,17,666,333,0.08,1,1,0,5,0,0,31.81,0,0
9960000000002,1028,4,258,Yes,64.5,11,0.26,0.16,0,0,0,0.18,0.14,0,0.18,0,0,0,0,0.02,0.06,14,696,174,0.33,0,1,0,4,2,50,32.72,0.03,1
9960000000003,1056,2,77,No,38.5,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,343,171.5,0.11,0,1,0,4,0,0,100,0,0
9960000000004,1118,8,846.06,Yes,105.75,11,0.38,0,0.05,0.06,0.2,0.17,0,0.05,0,0,0,0.005307,0.03,0.01,0.044693,24,701,87.62,0.29,3,1,0,9,6,66.67,23.27,0,0
9960000000005,1107,1,87.44,No,87.44,11,0.2,0.2,0,0,0,0,0.41,0,0,0,0,0.17,0,0,0.02,0,49,49,0.42,0,1,0,0,0,0,28.52,0,0
9960000000006,1106,2,120,No,60,11,0,0.56,0,0,0,0,0,0,0,0,0,0.02,0.4,0,0.02,3,145,72.5,0.41,0,2,0,0,0,0,48.84,0,0
9960000000007,1118,1,782.08,Yes,782.08,11,0.12,0,0,0,0.57,0.12,0,0.17,0,0,0,0,0,0,0.02,15,145,145,0.1,1,1,0,4,0,0,39.51,0,0
9960000000008,1106,1,79,No,79,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,447,447,0.19,0,1,0,4,1,25,100,0,0
9960000000009,1104,1,318.5,No,318.5,11,0.24,0,0,0,0.31,0.18,0,0,0.26,0,0,0,0,0,0.01,14,264,264,0.07,0,1,0,3,0,0,50.42,0,0
9960000000010,1104,12,1663.46,Yes,138.62,11,0.25,0.04,0.01,0.06,0.11,0.24,0.03,0.14,0,0,0,0.02,0.04,0.02,0.04,26,684,57,0.23,1,2,0,11,7,63.64,16.97,0,1
9960000000011,1201,7,632.08,Yes,90.29,11,0.38,0.21,0,0.03,0.24,0,0.03,0,0,0,0,0,0.02,0.07,0.02,25,698,99.71,0.24,2,3,1,8,2,25,26.22,0,1
9960000000012,1267,1,172.99,No,172.99,16,0,0.15,0,0.33,0,0,0.22,0,0.28,0,0,0,0,0,0.02,3,118,118,0.04,0,2,0,0,0,0,26.78,0,0
9960000000013,1331,5,106.38,No,21.27,16,0.12,0,0,0,0,0,0,0,0,0,0.15,0.02,0.08,0,0.63,15,369,73.8,0.14,0,3,0,8,2,25,5.02,1.48,0
9960000000014,1373,1,87.48,No,87.48,16,0.85,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.01,3,276,276,0.29,0,2,0,0,0,0,74.69,0,0
9960000000015,1452,4,491.17,Yes,122.79,16,0.19,0.07,0.15,0.22,0,0,0,0.14,0,0,0.2,0,0,0,0.03,16,352,88,0.3,1,2,0,4,1,25,18.29,0,0
9960000000016,1462,4,107.21,No,26.8,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,271,67.75,0.38,0,2,0,0,0,0,100,0,0
9960000000017,1450,2,158.98,Yes,79.49,16,0.39,0,0.19,0,0,0,0.12,0.28,0,0,0,0,0,0,0.02,15,685,342.5,0.28,1,3,0,7,0,0,29.16,0,0
9960000000018,1450,1,489.93,No,489.93,11,0,0,0,0.22,0.16,0.08,0,0,0,0.53,0,0,0,0,0.01,15,468,468,0,0,1,0,6,1,16.67,36.52,0,0
